raw_value,source_file,source_column,n_rows,canonical_make,canonical_parent,map_method,review_note
All,Data by Manufacturer.csv,Manufacturer,408,All,,aggregate-total,
Ford,Data by Manufacturer.csv,Manufacturer,408,Ford,Ford,trends-parent,
GM,Data by Manufacturer.csv,Manufacturer,408,GM,GM,trends-parent,
Honda,Data by Manufacturer.csv,Manufacturer,408,Honda,Honda,trends-parent,
Mazda,Data by Manufacturer.csv,Manufacturer,408,Mazda,Mazda,division-rollup,
Nissan,Data by Manufacturer.csv,Manufacturer,408,Nissan,Nissan,division-rollup,
Stellantis,Data by Manufacturer.csv,Manufacturer,408,Stellantis,Stellantis,trends-parent,
Toyota,Data by Manufacturer.csv,Manufacturer,408,Toyota,Toyota,division-rollup,
VW,Data by Manufacturer.csv,Manufacturer,408,VW,VW,trends-parent,
Kia,Data by Manufacturer.csv,Manufacturer,357,Kia,Kia,division-rollup,
Mercedes,Data by Manufacturer.csv,Manufacturer,357,Mercedes,Mercedes,trends-parent,
Tesla,Data by Manufacturer.csv,Manufacturer,357,Tesla,Tesla,division-rollup,
BMW,Data by Manufacturer.csv,Manufacturer,306,BMW,BMW,trends-parent,
Hyundai,Data by Manufacturer.csv,Manufacturer,306,Hyundai,Hyundai,division-rollup,
Subaru,Data by Manufacturer.csv,Manufacturer,306,Subaru,Subaru,division-rollup,
General Motors LLC,model-year-2024-footprint-data.csv,CAFE_MFR_NM,449,GM,GM,division-rollup,
BMW,model-year-2024-footprint-data.csv,CAFE_MFR_NM,317,BMW,BMW,trends-parent,
Mercedes Benz,model-year-2024-footprint-data.csv,CAFE_MFR_NM,221,Mercedes-Benz,Mercedes,division-rollup,
"Volkswagen Group of America, Inc.",model-year-2024-footprint-data.csv,CAFE_MFR_NM,161,Volkswagen,VW,division-rollup,
Toyota Motor Corporation,model-year-2024-footprint-data.csv,CAFE_MFR_NM,155,Toyota,Toyota,division-rollup,
Jaguar Land Rover Limited,model-year-2024-footprint-data.csv,CAFE_MFR_NM,119,Jaguar,,review,Tata-owned JLR; separate CAFE manufacturer
Ford Motor Company,model-year-2024-footprint-data.csv,CAFE_MFR_NM,115,Ford,Ford,division-rollup,
FCA US LLC,model-year-2024-footprint-data.csv,CAFE_MFR_NM,84,Stellantis,Stellantis,division-rollup,
Hyundai Motor Company,model-year-2024-footprint-data.csv,CAFE_MFR_NM,76,Hyundai,Hyundai,division-rollup,
"Nissan Motor Co., Ltd.",model-year-2024-footprint-data.csv,CAFE_MFR_NM,62,Nissan,Nissan,division-rollup,
Kia Corporation,model-year-2024-footprint-data.csv,CAFE_MFR_NM,57,Kia,Kia,division-rollup,
"American Honda Motor Co., Inc.",model-year-2024-footprint-data.csv,CAFE_MFR_NM,53,Honda,Honda,division-rollup,
Rivian Automotive LLC,model-year-2024-footprint-data.csv,CAFE_MFR_NM,48,Rivian,,self,
"Volvo Car USA,  LLC",model-year-2024-footprint-data.csv,CAFE_MFR_NM,40,Volvo,,review,Geely-era Volvo legal name (note double space)
Mazda Motor Corporation,model-year-2024-footprint-data.csv,CAFE_MFR_NM,19,Mazda,Mazda,division-rollup,
"Tesla, Inc.",model-year-2024-footprint-data.csv,CAFE_MFR_NM,19,Tesla,Tesla,division-rollup,
"Maserati North America, Inc.",model-year-2024-footprint-data.csv,CAFE_MFR_NM,16,Maserati,,review,see Maserati
Subaru Corporation,model-year-2024-footprint-data.csv,CAFE_MFR_NM,15,Subaru,Subaru,division-rollup,
Mitsubishi Motors Corporation,model-year-2024-footprint-data.csv,CAFE_MFR_NM,13,Mitsubishi,,self,
Ferrari S.p.A.,model-year-2024-footprint-data.csv,CAFE_MFR_NM,12,Ferrari,,self,
"Lucid USA, Inc.",model-year-2024-footprint-data.csv,CAFE_MFR_NM,9,Lucid,,self,
Fisker Group Inc.,model-year-2024-footprint-data.csv,CAFE_MFR_NM,6,Fisker Group,,self,
Aston Martin Lagonda,model-year-2024-footprint-data.csv,CAFE_MFR_NM,4,Aston Martin,,review,see Aston Martin
