vehicle,make,body_style,vehicle_size,year_range,automation_score,verified_score_1_2_3,verification_source,agrees_y_n
Audi A5 convertible 4WD,Audi,Luxury Cars,Midsize,2022-2024,2,,,
Audi TT 2dr 4WD,Audi,Sports Cars,Small,2019-2021,2,,,
BMW 328 xi GT 4d 4WD,BMW,Luxury Cars,Large,2013-2015,1,,,
BMW M235 i 2dr,BMW,Luxury Cars,Midsize,2014-2016,1,,,
Cadillac Escalade ESV 4WD,Cadillac,Luxury SUV's,Very Large,2010-2012,1,,,
Cadillac Escalade ESV 4dr,Cadillac,Luxury SUV's,Very Large,2022-2024,3,,,
Dodge Challenger SRT Hellcat,Dodge,Two-Door Cars,Large,2021-2023,2,,,
Ford Escape hybrid 4WD,Ford,SUV's,Small,2010-2012,1,,,
Ford T-350 Transit 4WD,Ford,Vans,Very Large,2022-2024,2,,,
GMC Canyon 4WD,GMC,Pickups,Small,2008-2010,1,,,
GMC Canyon 4WD ext.,GMC,Pickups,Small,2006-2008,1,,,
Honda CR-V 4WD,Honda,SUV's,Small,2010-2012,1,,,
Honda Civic hybrid,Honda,Four-Door Cars,Small,2013-2015,1,,,
Infiniti FX50 4dr 4WD,Infiniti,Luxury SUV's,Midsize,2008-2010,1,,,
Infiniti QX50/EX series 2WD,Infiniti,Luxury SUV's,Midsize,2013-2015,1,,,
Infiniti QX56 4WD,Infiniti,Luxury SUV's,Large,2010-2012,1,,,
Lexus RX 450h hybrid 4dr 4WD,Lexus,Luxury SUV's,Midsize,2020-2022,2,,,
Lexus RX 500h hybrid 4dr 4WD,Lexus,Luxury SUV's,Midsize,2022-2024,2,,,
Maserati Quattroporte 4dr 2WD,Maserati,Luxury Cars,Very Large,2014-2016,1,,,
Mazda CX-7 4dr,Mazda,SUV's,Midsize,2008-2010,1,,,
Mercedes-Benz GLC class 4dr 2WD,Mercedes-Benz,Luxury SUV's,Midsize,2014-2016,1,,,
Mercury Mariner hybrid,Mercury,SUV's,Small,2009-2011,1,,,
Polestar 2 electric 4dr,Polestar,Luxury Cars,Large,2022-2024,2,,,
Dodge Ram 3500 crew cab LWB 4WD,Ram,Pickups,Very Large,2011-2013,1,,,
Ram 1500 Classic SWB 4WD,Ram,Pickups,Large,2019-2021,2,,,
Ram 1500 SWB 4WD,Ram,Pickups,Large,2016-2018,2,,,
Subaru Crosstrek 4WD,Subaru,Station Wagons,Small,2021-2023,2,,,
Toyota 4Runner 4dr 2WD,Toyota,SUV's,Midsize,2014-2016,1,,,
Toyota RAV4 Prime plug-in hybrid 4dr 4WD,Toyota,SUV's,Small,2022-2024,2,,,
Volvo XC90 4WD,Volvo,Luxury SUV's,Midsize,2010-2012,1,,,
